^VOX,^VCR,^VDC,^VDE,^VFH,^VHT,^VIS,^VGT,^VAW,^VNQ,^VPU,^VIX,sp500,label
49.43,40.89,60.89,73.3,27.79,49.16,45.78,46.23,59.94,38.12,60.88,25.99,994.35,0
50.03,41.23,60.93,74.24,28.28,49.33,46.55,46.93,60.7,38.4,61.26,25.45,1005.81,0
50.12,41.37,61.17,75.15,28.72,49.31,46.75,47.4,61.87,38.6,61.22,24.71,1012.73,0
49.61,40.67,60.93,73.97,28.53,49.14,45.95,46.85,60.38,38.28,61.19,24.27,1004.09,1
48.6,39.44,60.42,71.58,27.41,49.14,44.59,45.62,58.07,36.24,60.36,27.89,979.73,0
48.79,39.94,60.58,72.36,27.84,49.02,45.17,46.34,59,36.6,60.42,26.18,989.67,0
49.12,40.34,61.03,73.66,27.86,49.67,45.28,46.61,59.62,36.31,60.98,26.26,996.46,0
49.66,40.74,61.38,74.33,28.51,49.97,45.91,47.11,59.92,37.76,61.31,25.09,1007.37,0
50.52,41.58,62.09,76.39,29.15,50.56,46.98,47.71,61.47,38.75,62.37,25.01,1026.13,0
50.56,41.24,62.06,77.38,28.93,50.77,47.02,47.65,60.94,38.62,62.51,25.14,1025.57,0
51.28,41.71,62.1,76.32,29.22,50.92,47.29,47.7,60.82,39.05,62.19,24.92,1028,0
51.89,41.94,62.35,76.5,29.25,50.89,46.97,47.85,60.54,39.17,62.18,24.95,1028.12,0
51.59,42.08,62.25,76.31,29.47,50.92,47.26,48.01,60.82,39.55,62.04,24.68,1030.98,0
51.09,42.08,61.94,76.35,29.52,50.49,47.06,48.1,61.09,39.9,62.02,24.76,1028.93,0
50.47,41.36,62.07,74.74,29.39,50.33,46.4,47.69,60.25,39.27,61.2,26.01,1020.62,1
49.38,40.53,61.47,73.42,27.98,49.72,45.53,46.66,58.56,37.17,60.78,29.15,998.04,0
49.71,40.26,61.49,73.05,27.66,49.66,45.26,46.69,58.99,36.42,60.27,28.9,994.75,0
49.73,40.92,61.78,73.43,28.25,49.67,46.07,47.08,60.05,37.15,60.49,27.1,1003.24,0
50.67,41.52,62.26,74.72,28.44,50.34,46.88,47.84,60.83,37.58,60.68,25.26,1016.4,0
51.08,41.97,62.75,76.93,28.71,50.18,47.52,48.23,61.78,38.89,60.89,25.62,1025.39,0
51.5,42.48,62.83,77.08,29.09,50.74,48.22,48.64,62.21,39.65,60.89,24.32,1033.37,0
52.63,43.02,63.24,78.62,29.32,51.11,48.84,49.33,62.81,40.24,60.99,23.55,1044.14,0
53.47,42.9,63.47,78.84,29.11,51.19,49.01,49.21,62.77,40.17,60.81,24.15,1042.73,0
53.53,43.09,63.4,79.57,29.51,51.56,49.57,49.28,63.7,41.36,61.71,23.86,1049.34,0
53.77,43.41,63.07,80.47,29.57,51.28,50.18,49.62,65.17,42.02,62.18,23.42,1052.63,0
53.88,44.23,63.55,82.41,30.57,51.54,50.98,50.1,66.23,43.73,63.13,23.69,1068.76,0
53.24,44.02,63.44,81.81,30.41,51.61,50.95,50.01,65.8,43.54,62.89,23.65,1065.49,0
54.2,44.3,64.07,81.66,30.39,51.52,51.02,50.04,65.79,43.6,63.04,23.92,1068.3,0
54.21,44.11,63.99,80.82,30.13,51.82,50.68,50.07,65.24,42.92,62.74,24.06,1064.66,0
54.32,44.36,64.01,82.29,30.75,51.67,51.05,50.35,65.97,44.28,62.65,23.08,1071.66,0
54.44,43.68,64.04,80.5,30.16,51.17,50.5,50.17,64.64,42.68,62.32,23.49,1060.87,0
54.13,43.2,63.74,79.11,29.47,50.85,49.77,49.77,63.43,40.72,61.55,24.95,1050.78,0
54.08,42.91,63.55,79.03,29.2,50.76,49.35,49.42,62.7,40.85,61.37,25.61,1044.38,0
54.83,43.71,63.88,80.39,30.17,51.52,50.08,50.33,64,42.54,61.95,24.88,1062.98,0
54.99,43.89,64.21,80.18,30.07,51.52,50.08,49.9,64.13,41.85,62.17,25.19,1060.61,0
54.56,43.71,64.26,79.81,29.86,51.35,49.55,49.9,63.64,41.45,61.61,25.61,1057.08,1
53.2,42.61,63.62,77.37,28.7,50.35,48.22,48.54,61.13,39.59,60.51,28.27,1029.85,0
52.91,42.05,63.88,76.84,28.65,50.19,47.47,48.31,60.72,39.31,59.99,28.68,1025.21,0
53.73,42.89,64.04,78.74,29.48,50.46,48.36,48.78,62.05,40.39,60.79,26.84,1040.46,0
54.41,43.66,64.66,80.51,29.83,50.96,49.03,49.74,63.26,40.28,61.24,25.7,1054.72,0
54.39,43.58,64.88,81.17,30.06,51.04,48.97,49.93,63.49,40.25,61.16,24.68,1057.58,0
54.23,44.31,65.26,83.22,30.15,51.04,49.56,50.11,64.83,41.02,61.31,24.18,1065.48,0
53.96,44.38,65.42,83.15,30.41,51.59,49.94,50.77,64.87,41.37,61.66,23.12,1071.49,0
54.08,44.43,65.44,84.28,30.59,51.82,49.95,50.88,65.01,41.31,61.98,23.01,1076.19,0
54.15,44.5,65.34,84.26,30.31,51.34,49.83,50.92,65.35,40.73,61.69,22.99,1073.19,0
54.64,45.25,65.68,85.71,31.27,52.05,51.07,51.71,66.65,42.22,61.9,22.86,1092.02,0
55.12,45.31,66.24,87.42,31,52.36,51.21,51.52,66.92,41.86,62.41,21.72,1096.56,0
54.48,44.96,66.4,87.21,30.37,52.2,50.69,51.01,66.06,40.76,62.47,21.43,1087.68,0
55.19,45.65,66.92,88.32,30.44,52.71,51.21,51.51,66.91,41.64,63.34,21.49,1097.91,0
54.49,45.09,66.76,87.68,30.22,52.12,50.93,51.51,66.21,40.87,62.69,20.9,1091.06,0
54.11,44.52,66.2,87.36,29.69,51.41,50.37,51.31,65.29,40.35,62.7,22.22,1081.4,0
54.47,45.25,66.31,87.99,30.46,51.78,50.78,51.51,66.18,41.41,62.85,20.69,1092.91,0
53.57,44.89,65.63,86.12,30.03,51.25,49.99,51.36,64.85,40.92,61.84,22.27,1079.6,0
52.2,44.58,65.16,84.53,29.35,50.74,49.39,51.11,63.38,40.82,61.03,24.31,1066.95,0
52.02,43.67,65.23,85.1,29.15,50.86,48.83,50.61,62.74,40.23,60.79,24.83,1063.41,0
51.55,42.34,64.84,82.26,28.28,50.06,47.66,49.64,60.6,38.54,60.25,27.91,1042.63,0
51.99,43.49,65.92,84.47,29.33,50.55,48.55,50.61,62.5,40.3,60.8,24.76,1066.11,1
50.75,42.34,64.73,81.21,28.15,49.81,47.17,49.31,60.16,39.6,59.59,30.69,1036.19,0
50.53,42.64,65.38,81.65,28.27,50.13,47.5,49.46,60.68,39.59,59.4,29.78,1042.88,0
50.92,42.84,65.09,82.83,28.38,50.21,48.29,49.45,61.54,40.17,59.34,28.81,1045.41,0
50.74,42.74,65.27,82.68,28.03,50.7,48.18,49.77,61.47,39.31,59.67,27.72,1046.5,0
51.56,43.89,65.68,84.16,28.66,51.65,49.46,50.93,63.06,40.2,60.75,25.43,1066.63,0
51.7,44.28,65.9,83.87,28.56,51.83,49.96,51.02,63.27,39.54,60.58,24.19,1069.3,0
52.63,45.21,66.77,85.55,29.53,52.62,51.22,52.08,65.3,41.49,61.69,23.15,1093.08,0
52.41,45.27,66.87,85.66,29.39,52.9,50.94,52.07,65.36,41.18,61.98,22.84,1093.01,0
52.78,45.54,67.08,85.65,29.8,53.03,51.27,52.43,65.93,41.95,61.77,23.04,1098.51,0
52.15,45.01,66.64,83.75,29.29,52.69,50.65,52.11,65.29,41.52,60.95,24.24,1087.24,0
52.33,45.63,67.1,84.31,29.28,52.82,51.12,52.6,65.76,42.08,61.49,23.36,1093.48,0
53.06,46.4,67.67,86.51,29.64,53.54,52.22,53.14,67.34,43.1,62.36,22.89,1109.3,0
53.39,46.15,67.83,86.4,29.69,53.6,52.13,53.46,67.93,42.35,62.16,22.41,1110.32,0
53.36,46.07,67.82,86,29.92,53.74,51.93,53.12,67.91,43.12,61.9,21.63,1109.8,0
52.81,45.36,67.48,83.97,29.37,53.34,51.04,52.3,66.86,42.13,61.12,22.63,1094.9,0
53.02,45.1,67.55,83.04,29.23,53.62,50.87,51.94,66.85,41.83,61.24,22.19,1091.38,0
54.12,45.49,68.19,84.28,29.57,54.15,51.57,52.75,67.45,42.36,62.04,21.16,1106.24,0
54.44,45.35,68.25,84.69,29.38,54.58,51.42,52.51,67.27,41.73,62.29,20.47,1105.65,0
54.65,45.81,68.16,85.62,29.34,54.9,51.74,52.64,68.2,41.9,62.86,20.48,1110.63,0
53.91,45.15,67.5,83.48,28.57,54.32,50.86,51.8,66.58,40.68,61.85,24.74,1091.49,0
53.84,45,67.21,83.59,29.26,54.17,50.92,51.89,66.9,42.2,62.34,24.51,1095.63,0
54.91,45.6,68.1,84.84,29.33,54.77,51.69,52.67,68.04,42.82,63.38,21.92,1108.86,0
55.48,45.78,68.13,84.29,29.35,54.94,51.76,52.67,68.98,43.52,64.14,21.12,1109.24,0
55.25,45.34,67.62,82.97,28.8,54.6,51.4,52.52,67.86,43.03,64.24,22.46,1099.92,0
55.81,45.79,68.08,82.4,29.34,54.77,52.3,53.03,67.3,44.3,64.08,21.25,1105.98,0
56.65,45.93,68.17,82.26,28.99,54.66,52.32,52.87,67.5,43.37,64.61,22.1,1103.25,0
56.07,45.61,67.36,80.84,28.69,54.25,51.62,52.5,66.46,43.12,64.45,23.69,1091.94,0
56,45.56,67.33,80.86,28.76,54.51,51.62,52.98,67.35,43.03,64.56,22.66,1095.95,0
56.31,46.1,67.55,81.84,28.73,55.11,51.75,53.09,67.15,42.86,65.31,22.32,1102.35,0
56.78,46.6,67.93,81.95,28.95,55.14,52.35,52.95,67.26,43.55,66.37,21.59,1106.41,0
56.86,47.09,68.14,82.73,29.15,55.71,52.97,53.5,68.32,44.34,66.68,21.15,1114.11,0
56.52,46.89,67.82,83.07,28.75,55.73,52.8,53.25,67.64,43.9,66.49,21.49,1107.93,0
56.66,47.07,67.68,83.73,28.88,55.56,52.78,53.53,68.35,44.22,66.35,20.54,1109.18,0
56.31,46.56,66.82,83.1,28.46,55.02,52.26,52.93,66.81,43.95,65.99,22.51,1096.08,0
56.75,46.66,66.63,83.4,28.82,55.21,52.2,53.72,66.9,44.24,66.22,21.68,1102.47,0
57.39,47.33,67.25,84.38,29.17,55.85,52.65,54.28,67.68,44.84,66.5,20.49,1114.05,0
56.62,46.99,65.79,83.56,29.36,54.68,52.11,54.3,67.17,45.31,65.54,19.54,1118.02,0
56.75,47.26,66.05,84.19,29.28,54.72,52.26,54.7,68.21,45.85,65.67,19.71,1120.59,0
56.86,47.31,66.22,84.53,29.31,54.72,52.49,55.22,68.73,45.92,66.11,19.47,1126.48,0
57.23,47.28,66.4,84.75,29.27,54.87,52.36,55.31,68.71,46.14,66.19,19.93,1127.78,0
57.16,47.39,66.55,84.15,29.16,54.84,52.44,55.27,68.67,45.45,66.21,20.01,1126.2,0
57.06,47.2,66.49,84.08,29.16,54.77,52.26,55.48,68.68,45.52,66.15,19.96,1126.42,0
56.51,46.77,65.69,83.37,29.04,54.19,51.58,54.87,67.82,44.74,65.18,21.68,1115.1,0
57.72,47.14,66.36,85.97,29.57,54.94,52.54,55.8,69.87,44.55,65.47,20.04,1132.99,0
58.11,47.44,66.42,86.85,29.9,54.6,52.77,55.74,70.29,44.5,64.86,19.35,1136.52,0
57.19,47.49,66.41,87.85,29.95,54.91,52.9,55.35,71.28,44.42,65.15,19.16,1137.14,0
56.98,47.9,66.41,87.64,30.53,55.1,53.55,55.14,70.97,44.9,64.86,19.06,1141.69,0
56.72,47.94,66.05,88.3,30.41,55.3,54.26,55.57,71.74,44.57,64.79,18.13,1144.98,0
56.77,47.88,66.28,88.23,30.4,55.58,54.77,55.33,71.5,44.83,65.29,17.55,1146.98,0
56.06,47.22,66.58,86.84,30.03,55.2,54.22,54.6,70.11,44.08,65.15,18.25,1136.22,0
56.32,47.76,67.04,87.28,30.31,56.02,54.55,55.2,70.75,44.97,65.75,17.85,1145.68,0
55.85,47.77,67,87.52,30.51,56.39,54.5,55.55,70.09,44.93,65.54,17.63,1148.46,0
55.15,47.36,66.62,86.81,29.98,56.06,53.87,54.86,69.44,44.59,65.09,17.91,1136.03,0
55.7,47.83,67.04,87.62,30.34,57.2,54.35,55.62,70.63,45.5,65.89,17.58,1150.23,0
54.86,47.31,66.54,86.18,30.33,56.83,53.65,54.9,69.54,44.99,65.23,18.68,1138.04,0
54.18,46.7,65.51,84.49,29.63,55.6,52.52,54.36,66.65,43.7,64.31,22.27,1116.48,1
53.28,45.81,65.26,82.45,28.68,54.9,51.55,52.32,65.12,42.6,63,27.31,1091.76,0
53.77,46.02,65.39,83.08,28.86,54.98,51.76,52.65,65.62,42.9,63.4,25.41,1096.78,0
53.03,46.02,65.29,82.55,28.49,54.79,51.68,52.65,64.96,42.5,63.56,24.55,1092.17,0
53.13,46.17,65.43,82.06,29.09,55.05,51.71,52.96,64.61,42.88,63.19,23.14,1097.5,0
52.48,45.91,65.22,81.25,28.94,54.6,51,51.54,63.3,42.51,62.69,23.73,1084.53,0
52.13,45.59,65.06,79.8,28.78,54.42,50.47,50.38,62.29,42.27,62.25,24.62,1073.87,0
52.59,46.09,65.58,82.21,29.15,54.61,51.15,51.19,64.37,43.04,62.6,22.59,1089.19,0
53.14,46.84,66.41,83.54,29.38,55.67,52.11,51.63,64.94,43.63,63.09,21.48,1103.32,0
52.73,46.85,66.08,82.74,29.04,55.13,51.9,51.78,64.29,42.92,62.69,21.6,1097.28,1
51.11,45.41,64.53,79.26,27.98,53.58,50.24,50.26,61.69,41.33,61.01,26.08,1063.11,0
51.05,45.19,64.48,79.12,28.26,53.45,50.01,50.73,62.66,42.09,60.85,26.11,1066.19,0
51,45.06,64.3,78.5,27.71,53.23,49.52,50.47,61.58,41.17,60.22,26.51,1056.74,0
51.63,45.67,65.15,80.12,27.98,53.6,50.31,51.02,63.12,41.04,60.81,26,1070.52,0
51.4,45.5,65.09,79.85,28.2,53.42,50.28,50.91,62.89,41.12,60.57,25.4,1068.13,0
51.97,46.05,65.66,81.24,28.32,53.8,51.1,51.58,63.85,41.51,61.02,23.96,1078.47,0
52.06,46.15,65.48,81.06,28.39,53.84,50.83,51.7,64.01,42,60.78,22.73,1075.51,0
52.73,46.88,66.32,83.02,28.96,54.31,51.91,52.44,65.62,43.19,61.87,22.25,1094.87,0
53.11,47.3,66.8,82.89,29.09,54.71,52.32,52.68,65.76,43.58,61.79,21.72,1099.51,0
53.38,47.56,67.29,83.38,29.26,54.89,52.83,53.14,66.48,44.23,62.16,20.63,1106.75,0
53.52,47.75,67.39,83.68,29.38,54.88,53.05,53.08,66.83,44.26,63,20.02,1109.17,0
53.48,47.74,67.3,82.51,29.74,54.89,53.06,52.97,66.69,44.37,62.7,19.94,1108.01,0
52.81,47.38,66.92,81.07,29.29,54.26,52.38,52.26,65.42,44.03,62.15,21.37,1094.6,0
52.75,48.05,67.38,81.58,29.77,54.62,52.8,52.75,65.52,44.48,62.28,20.27,1105.24,0
52.66,48.08,67.39,81.6,29.69,54.62,52.72,52.59,65.58,44.65,62.08,20.1,1102.94,0
52.75,48.29,67.04,81.74,29.79,54.71,52.96,52.65,65.46,44.63,61.65,19.5,1104.49,0
53.09,49.08,67.5,82.65,29.91,55.3,53.58,53.5,66.67,45.01,62.35,19.26,1115.71,0
53.35,49.02,67.85,83.37,30.07,55.66,53.73,53.48,67.46,45.03,62.72,19.06,1118.31,0
53.37,49.1,67.94,83.65,30,55.48,53.93,53.51,68.1,44.91,62.69,18.83,1118.79,0
53.53,49.53,68.2,83.26,30.29,55.37,54.11,53.76,68.27,45.19,62.76,18.72,1122.97,0
53.77,50.34,68.61,84.75,30.84,56.04,54.96,54.44,69.22,46.42,63.38,17.42,1138.7,0
54.18,50.56,68.38,84.67,31,55.86,54.78,54.69,69.17,46.89,63.47,17.79,1138.5,0
54.8,50.58,68.34,84.71,31.08,55.76,55.24,54.9,68.92,47,63.34,17.92,1140.45,0
54.83,50.84,68.2,85.34,31.41,55.98,55.44,55.35,68.93,47.42,63.44,18.57,1145.61,0
55.16,51.07,68.23,85.29,31.68,56.3,55.54,55.51,69.18,47.7,63.64,18.06,1150.24,0
54.96,51.22,68.39,85.38,31.54,56.03,55.84,55.51,69.68,48.08,63.3,17.58,1149.99,0
55.06,51.21,68.86,84.4,31.53,56.27,55.93,55.33,69.45,47.97,63.48,18,1150.51,0
55.35,51.59,69.21,85.23,31.95,56.46,56.55,55.74,70.47,49.13,64.19,17.69,1159.46,0
55.74,51.82,69.5,86.04,32.33,56.5,56.73,56.06,70.97,49.86,64.41,16.91,1166.21,0
55.97,51.77,69.44,84.75,32.17,56.8,56.96,56.06,70.45,49.59,64.12,16.62,1165.83,0
55.76,51.4,69.28,83.63,31.99,56.8,56.61,55.56,69.6,49.05,64,16.97,1159.9,0
56.36,52.16,69.7,83.52,32.16,57.31,56.89,56.08,70.5,49.67,63.66,16.87,1165.81,0
56.94,52.51,70.34,83.91,32.35,57.55,57.62,56.65,71.49,49.53,63.92,16.35,1174.17,0
56.38,52.26,69.7,83.43,32.47,57.03,57.21,56.21,71.21,49.8,63.26,17.55,1167.72,0
55.69,52.45,69.62,81.98,32.5,56.72,57.01,56.3,69.75,49.55,62.26,18.4,1165.73,0
55.77,52.69,69.69,82.01,32.53,56.37,57.25,56.25,70.26,49.29,62.39,17.77,1166.59,0
56.14,52.67,70.07,83.55,32.59,56.83,57.71,56.22,70.99,49.44,63.16,17.59,1173.22,0
56.38,52.72,70.19,83.6,32.41,56.91,57.85,56.52,71.09,49.37,63.11,17.13,1173.27,0
56.21,52.35,69.79,84.01,32.43,56.69,57.55,56.18,70.78,48.81,62.92,17.59,1169.43,0
56.66,52.73,70.16,85.55,32.7,57,57.97,56.17,71.9,49.06,63.62,17.47,1178.1,0
57.21,53.45,70.19,87.13,33.08,56.99,58.5,56.94,72.95,50.14,64.09,17.02,1187.44,0
56.93,53.61,69.96,87.2,33.5,56.91,58.52,57.01,73.16,51.29,64.64,16.23,1189.44,0
56.32,53.34,69.63,86.38,33.29,56.63,58.19,56.87,72.68,50.16,64.05,16.62,1182.45,0
56.72,53.83,69.67,86.76,33.54,56.52,58.39,56.88,72.84,50.22,63.68,16.48,1186.44,0
56.98,54.26,70.05,87.61,33.7,56.74,58.72,57.32,73.16,50.93,64.06,16.14,1194.37,0
56.98,54.34,70.15,87.85,33.84,56.65,58.92,57.55,72.75,50.61,64.32,15.58,1196.48,0
56.96,54.67,70.12,87.44,33.88,56.7,59.11,57.73,72.63,51.85,64.09,16.2,1197.3,0
57.12,55.49,70.24,88.36,34.74,56.63,59.89,58.76,73.27,51.93,64.14,15.59,1210.65,0
57.11,55.71,70.12,88.5,34.57,56.53,60.35,59.05,73.21,50.51,64.12,15.89,1211.67,0
56.68,54.96,69.89,87.08,33.36,56.21,59.4,58.31,72.02,49.35,63.46,18.36,1192.13,0
56.79,54.95,70.04,87.08,33.66,56.59,59.31,58.26,71.93,49.57,63.52,17.34,1197.52,0
57.24,55.6,70.29,88.84,34.16,56.8,59.83,58.64,72.27,50.41,64.23,15.73,1207.17,0
56.83,56.02,70.19,88.69,34.06,55.86,60.25,58.87,72.3,51.29,64.23,16.32,1205.94,0
56.9,57.02,70.14,88.83,34.29,55.26,60.84,59.09,72.89,52.08,64.63,16.47,1208.67,0
56.96,57.33,70.07,90.92,34.46,55.79,61.24,59.33,73.91,52.77,65.13,16.62,1217.28,0
56.83,57.57,69.93,90.6,33.94,55.17,61.41,59.25,73.86,53.19,64.89,17.47,1212.05,1
56.19,55.87,68.73,87.98,32.86,54.6,59.81,58.02,71.52,51.49,63.85,22.81,1183.71,0
56.51,55.74,69.17,88.87,33.2,54.92,60.15,58.17,72.12,51.65,64.39,21.08,1191.36,0
57.11,56.88,69.49,88.88,34.04,55.85,61.42,58.72,72.9,53.98,64.63,18.44,1206.78,0
56.66,55.64,69.06,87.77,33.2,55.15,60.06,57.42,71.51,52.3,64.8,22.05,1186.69,0
57.17,56.83,69.42,88.65,33.78,55.52,61.28,58.21,71.84,54.04,65.59,20.19,1202.26,1
55.81,55.11,68.74,86.32,32.86,54.98,59.2,56.46,69.24,52.81,64.42,23.84,1173.6,0
55.64,54.26,68.86,85.03,32.67,54.95,58.42,56.07,68.52,52.1,63.89,24.91,1165.87,1
54.31,52.36,67.1,81.91,31.32,53.41,56.51,54.07,66.49,49.96,62.22,32.8,1128.15,0
53.19,51.26,66.62,80.33,30.89,52.51,55.17,52.95,65.48,49.12,61.65,40.95,1110.88,0
54.7,53.93,68.5,83.67,32.61,54.02,58.3,55.52,68.72,52.36,63.61,28.84,1159.73,0
54.84,54.01,68.51,83.13,32.53,54.03,58.26,55.33,68.04,52.67,63.76,28.32,1155.79,0
55.93,54.95,69.08,84.37,32.96,54.58,59.77,56.69,69.57,53.52,64.49,25.52,1171.67,0
56.06,53.82,68.77,83.84,32.46,54.14,59.08,55.96,68.88,52.65,64.24,26.68,1157.44,0
55.38,52.78,68.11,82.01,31.6,53.21,57.76,54.72,67.05,50.98,63.67,31.24,1135.68,0
55.88,53.17,68.68,81.24,31.62,53.29,57.61,54.84,66.88,51.05,63.81,30.84,1136.94,0
55.53,52.17,68.4,80.5,30.77,52.93,56.9,53.99,65.94,49.76,63.11,33.55,1120.8,0
55.17,51.8,68.22,79.57,30.74,52.76,55.97,53.64,65.51,49.3,62.58,35.32,1115.05,1
53.28,49.71,66,75.95,29.29,50.86,53.36,51.69,62.44,46.77,60.4,45.79,1071.59,0
53.59,50.56,66.29,77.32,30.26,51.02,54.24,52.24,63.94,48.34,60.64,40.1,1087.69,0
53.34,50.2,65.72,75.46,29.49,50.91,53.4,51.9,63.02,47.26,60.16,38.32,1073.65,0
53.52,50.57,65.13,75.46,29.66,50.64,53.36,51.8,63.7,47.64,59.77,34.61,1074.03,0
53.04,50.42,64.65,75.63,29.52,50.51,53.58,51.44,63.49,47.54,59.75,35.02,1067.95,0
54.61,52.31,65.97,78.79,30.84,51.48,55.54,53.34,66.14,50.15,60.96,29.68,1103.06,0
54.14,51.64,65.63,77.29,30.27,51.33,54.69,52.83,65.12,49.51,61,32.07,1089.41,0
53.11,50.81,65.5,73.72,29.59,50.7,53.6,52.02,62.98,48.48,59.63,35.54,1070.71,0
54.5,51.88,66.63,76.96,30.43,51.95,54.93,53.32,64.74,49.43,60.92,30.17,1098.38,0
54.85,52.27,66.73,78.06,30.33,52.26,55.23,53.99,64.34,49.29,61.61,29.46,1102.83,1
53.17,50.13,64.98,75.33,29.07,50.58,52.65,52.1,61.61,46.5,59.64,35.48,1064.88,0
52.7,49,64.41,74.5,28.54,50.45,51.23,51.03,60.49,46.25,59.92,36.57,1050.47,0
53.13,49.35,65.35,75.8,29.01,50.4,51.71,51.06,61.61,47.08,60.67,33.7,1062,0
53.04,49.39,65.29,74.99,28.79,50.2,51.71,50.68,61.52,47.36,60.28,33.73,1055.69,0
54.41,51.04,66.27,78.57,29.72,51.27,53.58,52.02,63.79,49.41,61.84,30.57,1086.84,0
54.98,51.19,66.05,79.05,29.92,51.79,53.87,52.64,64.75,50,61.9,28.79,1091.6,0
54.91,51.47,66.24,78.77,29.8,51.86,53.91,52.51,64.21,50.62,62.17,28.58,1089.63,0
56,52.64,67.08,81.03,30.5,52.72,55.58,54.1,65.95,51.75,63.45,25.87,1115.23,0
55.98,52.32,66.66,80.96,30.47,52.87,55.47,54.2,65.78,51.28,63.81,25.92,1114.61,0
55.98,52.02,67.16,80.98,30.41,52.91,55.57,54.37,65.53,51.39,64.27,25.05,1116.04,0
55.9,51.88,67.03,81.44,30.55,52.79,55.74,54.44,65.85,51.23,64.38,23.95,1117.51,0
55.59,51.34,66.75,81.19,30.42,52.53,55.78,54.01,66.01,50.83,63.86,24.88,1113.2,0
55.08,50.15,66.12,78.87,29.98,52.01,54.37,53.42,64.44,49.32,62.37,27.05,1095.31,0
55.48,50.21,66.25,78.17,29.84,51.85,54.19,53.2,64.47,49.45,61.7,26.91,1092.04,0
54.64,48.97,65.61,76.49,29.17,51.39,53.19,52.21,62.8,47.95,60.84,29.74,1073.69,0
54.68,49.2,65.03,76.81,29.93,51.72,53.5,52.26,63.72,49.16,61.19,28.53,1076.76,0
55.01,48.88,65.52,75.79,29.63,51.65,53.28,52.28,63.07,48.58,61.62,29,1074.57,1
53.7,46.98,64.4,73.22,28.53,50.57,51.19,50.18,60.76,46.99,60.3,34.13,1041.24,0
53.08,46.45,63.91,72.84,28.22,50.24,50.87,49.46,60.04,46.49,59.9,34.54,1030.71,0
53.26,46.72,63.99,72.55,27.98,49.61,50.44,49.24,59.63,46.33,59.55,32.86,1027.37,0
53.1,46.22,63.83,72.32,27.68,49.78,49.97,49.13,59.32,45.44,59.62,30.12,1022.58,0
53.05,46.03,64.11,72.91,27.75,49.82,49.93,49.36,59.18,44.43,60.25,29.65,1028.06,0
54.45,47.42,65.44,75.53,28.94,50.86,51.74,51.22,61.57,46.59,62.14,26.84,1060.27,0
55.12,47.85,66.39,76.5,29.19,51.33,52.42,51.49,62.55,47.17,62.71,25.71,1070.25,0
55.2,48.41,66.5,76.94,29.66,51.48,52.94,51.84,64.02,47.77,63.13,24.98,1077.96,0
54.83,48.3,66.59,76.66,29.65,51.31,52.55,52.17,63.17,47.92,63.22,24.43,1078.75,0
55.77,49.62,67.21,77.63,30.43,51.82,53.74,53.05,64.7,49.1,63.56,24.56,1095.34,0
55.93,49.37,67.31,77.41,30.19,51.84,53.79,53.46,64.6,48.81,63.55,24.89,1095.17,0
55.67,49.5,67.42,77.49,30.13,51.98,53.6,53.42,64.59,48.65,63.87,25.14,1096.48,1
54.67,47.69,66.51,75.32,28.86,50.78,51.85,51.81,62.59,47.07,62.71,26.25,1064.88,0
55,48.07,66.55,75.9,28.89,50.94,52.12,52.39,62.73,47.65,63.59,25.97,1071.25,0
55.53,48.88,67.46,77.48,29.22,50.84,53.03,52.79,64.58,48.54,64.23,23.93,1083.48,0
55.16,48.01,66.79,76.42,28.69,50.02,52.84,51.98,64.23,47.53,63.28,25.64,1069.59,0
56.31,49.53,67.43,78.15,29.55,50.44,54.47,53.44,65.9,49.31,64.47,24.63,1093.67,0
57.31,50.29,68.28,78.51,29.81,50.53,55.6,53.93,67.36,49.94,64.63,23.47,1102.66,0
58.07,51.08,68.6,79.38,30.35,51.38,56.59,54.34,67.77,51.19,65.17,22.73,1115.01,0
58.02,50.48,68.96,79,30.38,51.31,56.13,54.38,67.25,51.18,66.15,23.19,1113.84,0
58.02,50.07,68.5,78.79,30.12,50.52,55.8,53.76,66.74,51.08,65.65,24.25,1106.13,0
57.84,49.82,67.69,78.87,30.16,50.43,55.75,53.22,66.86,50.65,64.68,24.13,1101.53,0
57.93,50.18,67.93,78.69,30.18,50.73,55.92,53.02,67.21,50.95,64.29,23.5,1101.6,0
58.93,51.24,68.63,81.37,30.88,51.59,56.97,54.05,68.91,52.66,65.44,22.01,1125.86,0
58.54,50.46,68.15,81.51,30.58,51.94,56.59,53.78,67.82,52.15,65.27,22.63,1120.46,0
58.71,51.21,68.4,82.21,30.69,52.62,57.03,54.24,68.46,52.52,65.5,22.21,1127.24,0
58.83,51.21,68.06,82.24,30.51,52.47,56.96,53.95,68.61,51.86,65.51,22.1,1125.81,0
58.33,50.95,68.25,81.35,30.3,52.68,56.51,53.81,68.4,51.62,65.56,21.74,1121.64,0
58.88,51.45,68.64,81.75,30.5,52.86,57.01,54.13,68.76,52.21,65.82,22.14,1127.79,0
58.61,50.87,68.74,80.97,30.18,52.83,56.46,53.38,68,51.7,66.06,22.37,1121.06,1
57.33,49.45,67.5,78.55,29.16,51.46,54.33,51.94,65.76,50.41,64.72,25.39,1089.47,0
57.75,49.34,67.35,78.13,28.95,51.64,53.9,51.07,66.05,49.78,64.55,25.73,1083.61,0
