^VOX,^VCR,^VDC,^VDE,^VFH,^VHT,^VIS,^VGT,^VAW,^VNQ,^VPU,^VIX,sp500,label
42.81,33.04,57.35,69.61,28.56,44.76,43.83,36.96,49.71,37.02,58.89,69.96,930.09,0
44.16,33.8,59.28,73.93,29.27,45.98,45.47,37.73,51.62,39,61.8,62.9,954.09,0
45.39,34.95,60.11,74.54,30.75,46.86,46.76,38.07,52.27,41.51,60.97,59.89,968.75,0
46.65,34.4,60.1,72.9,30.85,47.16,46.65,37.78,51.89,40.15,61.12,53.68,966.3,0
48.49,35.47,61.25,77.84,32.32,47.72,48.88,39.06,54.6,42.4,62.09,47.73,1005.75,1
45.18,33.52,59.43,74.06,29.63,46.27,46.35,36.99,51.27,38.23,60,54.56,952.77,1
42.72,31.83,57.95,69.7,28.01,44.94,43.39,35.04,48.35,36.44,57.71,63.68,904.88,0
43.96,32.35,59.02,72.59,28.65,46.03,44.41,35.86,50.03,38.75,60.33,56.1,930.99,0
44.1,31.44,59.04,72.92,27.33,45.82,44.19,35.23,49.81,35.28,58.89,59.98,919.21,1
42.97,30.58,58,70.2,26.82,44.98,43.1,34.44,47.53,34.79,58.91,61.44,898.95,1
40.64,28.66,56.04,64.76,25.14,43.51,40.55,32.77,44.5,32.3,57.53,66.46,852.3,0
43.28,30.56,58.71,72.22,27.01,46,42.91,34.69,48.26,35.85,61.55,59.83,911.29,1
43.24,29.3,56.92,68.54,25.47,44.29,41,32.94,45.21,31.81,59.62,66.31,873.29,1
41.49,28.37,56.13,67.5,24.15,43.5,40.21,32.15,44.36,30.66,59.59,69.15,850.75,0
40.82,28.14,56.83,69.55,23.97,43.44,40.3,32.42,43.88,30.37,59.75,67.64,859.12,1
38,26.27,55.05,65.22,21.36,41.75,37.44,30.65,40.58,26.29,57.95,74.26,806.58,1
35.48,24.83,52.72,57.01,19.31,39.04,35.07,29.27,37,24.21,54.69,80.86,752.44,0
37.29,26.28,55.24,63.66,20.2,40.52,37.48,30.74,39.79,25.99,59.23,72.67,800.03,0
40.39,28.32,56.61,67.97,23.06,41.85,39.61,32.51,42.01,30.41,60.29,64.7,851.81,0
41.71,28.92,56.65,68.93,23.95,42.27,40.23,32.37,43.87,30.89,60.94,60.9,857.39,0
44.43,30.67,57.66,73.55,25.11,42.71,41.72,33.7,45.98,32.56,61.36,54.92,887.68,0
45.21,30.87,58.4,72.44,25.77,43.24,42.69,33.64,46.29,32.08,62.64,55.28,896.24,1
41.55,28.16,55.08,64.4,21.6,40.5,38.9,31.2,41.38,25.82,58.42,68.51,816.21,0
44.21,29.39,55.85,66.79,23.38,41.95,40.98,32.21,43.48,29.25,59.72,62.98,848.81,0
45.55,30.66,56.73,66.93,24.52,43.13,42.04,32.96,43.54,30.89,60.92,60.72,870.74,1
43.7,30.65,55.61,61.79,24.12,42.06,40.66,31.77,42.43,30.04,58.37,63.64,845.22,0
45.6,31.82,57.6,63,25.97,43.56,41.97,32.99,43.67,33.22,59.6,59.93,876.07,0
47.36,32.89,57.78,66.58,27.37,43.95,43.79,34.46,46.98,36.32,60.32,58.49,909.7,1
46.03,32,56.45,66.67,26.28,43.08,42.39,34.46,46.61,33.17,59.29,58.91,888.67,0
46.11,32.75,56.85,70.57,26.27,43.44,43.1,34.43,48.14,36.02,60.27,55.73,899.24,1
44.58,31.42,56.12,69.96,24.27,43.45,41.14,33.42,45.86,30.88,59.74,55.78,873.59,0
44.73,31.52,56.39,69.15,24.8,43.52,41.26,34.13,46.54,34.11,60.07,54.28,879.73,0
42.96,31.17,56.22,68.9,23.94,43.33,41.19,33.69,46.07,32.92,59.13,56.76,868.57,0
45.41,32.88,57.74,71.28,26.33,45.13,43.41,35.22,48.83,36.95,61.18,52.37,913.18,0
45.38,33.36,57.54,70.47,26.1,44.79,43.52,34.88,49.12,37.63,59.68,49.84,904.42,1
44.94,32.76,57.64,66.28,25.39,45.21,42.27,33.99,47.05,34.5,59.81,47.34,885.28,0
44.65,32.71,57.56,66.53,25.51,45.57,42.58,34.47,46.49,36.92,59.88,44.93,887.88,0
42.88,30.94,56.18,63.12,24.76,44.32,40.79,33.3,43.28,35.53,58.97,44.56,871.63,0
42.7,30.6,55.77,62.77,24.39,44.27,40.53,33.02,43.08,35.33,58.11,45.02,863.16,0
42.76,30.78,56.16,62.59,24.3,44.23,40.72,33.09,43.05,34.8,58.34,44.21,868.15,0
43.43,30.97,56.35,63.85,24.44,44.36,41,33.13,43.85,35.3,58.84,43.38,872.8,0
42.6,30.54,56.08,64.83,24.12,44.01,40.49,32.88,43.24,33.27,58.81,43.9,869.42,0
43.36,31.58,57.08,66.59,25.01,45.19,41.73,33.69,44.52,34.6,59.8,41.63,890.64,0
44.82,32.24,57.85,67.36,25.89,45.7,42.84,34.05,45.4,36.45,61.05,40,903.25,0
45.69,33.57,58.66,71.25,25.97,46.46,44.44,35.42,47.11,35.29,62.26,39.19,931.8,0
44.91,33.62,58.57,73.07,25.51,46.04,44.34,35.4,47.24,34.64,62.77,39.08,927.45,0
45.76,34.16,58.06,74.12,25.99,45.47,45.11,36.51,48.17,36.37,62.11,38.56,934.7,1
45.06,33.04,57.37,70.83,24.8,45.1,43.36,35.26,47.25,35.15,61.06,43.39,906.65,0
46.53,33.25,56.74,71.86,24.81,45.22,43.66,35.56,47.66,34.89,61.28,42.56,909.73,1
45.42,32.26,55.96,69.22,23.94,44.8,42.76,34.73,46.45,33.1,60.65,42.82,890.35,1
44.07,31.4,55.64,66.59,22.79,44.41,41.67,34.15,44.56,31.16,60.66,45.84,870.26,0
44.2,31.06,55.94,68.06,23.12,44.81,40.86,34.14,44.68,32.1,59.71,43.27,871.79,1
42.65,29.93,54.67,64.95,21.89,44.19,39.33,32.96,42.8,30.42,58.78,49.14,842.62,0
42.59,30.57,54.89,65.47,21.26,44.46,39.63,33.15,43.96,31.42,59.08,51,843.74,0
42.85,31.02,55.6,66.19,20.92,44.91,40.08,33.47,44.63,32.61,60.36,46.11,850.12,1
41.19,29.07,54.61,62.28,17.99,43.59,37.96,31.73,41.97,28.96,59.2,56.65,805.22,0
42.85,30.08,55.04,66.54,20.08,44.72,39.02,33.31,43.73,31.99,59.84,46.42,840.24,0
42.51,29.72,54.87,64.61,18.95,44.74,38.76,32.59,42.9,30.24,59.82,47.29,827.5,0
42.89,29.68,54.42,66.31,19.45,44.77,37.77,33.02,43.65,31.16,59.97,47.27,831.95,0
43.93,29.81,54.77,67.71,19.2,44.64,38.05,33.29,43.17,30.98,61.37,45.69,836.57,0
43.42,29.93,55.05,67.57,19.77,45.41,38.8,33.82,43.53,31.42,61.7,42.25,845.71,0
44.35,31.1,55.76,70,21.82,46.09,40,34.84,44.9,34.14,62.08,39.66,874.09,1
42.81,29.91,55.22,67.07,20.23,45.57,38.43,33.78,43.67,31.35,61.69,42.63,845.14,1
42.09,28.95,53.45,66.08,19.78,44.92,37.49,32.9,42.05,30.06,60.29,44.84,825.88,0
43.01,28.91,53.24,65.34,19.79,45.37,36.77,33.33,41.48,30.79,60.76,45.52,825.44,0
43.56,29.66,54.33,66.25,19.42,46.43,37.42,33.87,42.3,30.48,61.17,43.06,838.51,0
42.69,29.01,53.06,66.74,19.24,46.12,37.29,34.05,42.98,29.74,61.64,43.85,832.23,0
43.38,29.51,53.81,68.53,19.45,46.64,37.63,34.72,43.98,29.11,62.03,43.73,845.85,0
44.24,30.42,54.77,69.9,20.76,47.07,38.67,35.9,45.43,31.13,62.64,43.37,868.6,0
44.14,30.35,54.15,70.34,21.01,46.89,39.52,36.05,45.34,31.59,62.1,43.64,869.89,1
42.35,29.01,52.45,67.02,19.03,45.53,37.46,34.64,43.35,28.78,60.37,46.67,827.16,0
42.28,29.06,52.75,66.2,19.82,45.99,37.57,34.72,43.36,29.33,59.9,44.53,833.74,0
42.52,29.18,53.43,66.35,19.71,46.42,37.31,34.96,43.81,28.83,59.42,41.25,835.19,0
42.99,28.81,52.7,66.33,18.89,46.21,37.2,34.92,43.27,27.06,59.22,42.93,826.84,1
40.92,27.78,51.69,61.94,17.41,45.22,35.46,33.37,41.13,25.14,56.48,48.66,789.17,0
